product_category,original_price,product_age_days,return_reason,condition_grade,optimal_route
clothing,14285.36,80,not_as_described,very_good,resell_as_is
electronics,56502.19,56,no_longer_needed,like_new,resell_as_is
books,794.55,13,not_as_described,very_good,peer_exchange
clothing,4722.82,57,wrong_size,very_good,resell_as_is
clothing,11885.05,14,not_as_described,good,donate
home,18459.57,1,better_price_found,good,refurbish
electronics,16161.76,17,no_longer_needed,good,refurbish
electronics,26332.35,13,no_longer_needed,good,refurbish
clothing,954.04,111,defective,very_good,peer_exchange
home,13600.4,51,not_as_described,for_parts,recycle
home,21955.93,54,better_price_found,good,refurbish
clothing,2896.37,1,defective,very_good,resell_as_is
electronics,14126.49,75,no_longer_needed,good,refurbish
home,36666.42,114,not_as_described,like_new,resell_as_is
home,26904.16,54,defective,good,refurbish
toys,6851.75,77,defective,very_good,refurbish
electronics,8351.11,2,no_longer_needed,very_good,resell_as_is
toys,2294.62,32,no_longer_needed,very_good,donate
home,35314.34,59,defective,like_new,resell_as_is
electronics,27948.38,129,defective,like_new,resell_as_is
toys,2468.21,63,wrong_size,very_good,peer_exchange
electronics,35414.68,40,no_longer_needed,very_good,resell_as_is
electronics,15391.53,50,not_as_described,like_new,resell_as_is
electronics,45715.32,75,defective,for_parts,recycle
toys,3523.88,3,not_as_described,good,refurbish
clothing,6992.86,49,not_as_described,like_new,resell_as_is
electronics,52499.37,39,better_price_found,very_good,resell_as_is
home,6708.13,43,no_longer_needed,acceptable,refurbish
electronics,46658.0,100,defective,like_new,resell_as_is
clothing,8007.39,110,not_as_described,acceptable,refurbish
clothing,10588.87,16,wrong_size,for_parts,recycle
clothing,14945.68,202,not_as_described,acceptable,refurbish
clothing,10655.19,113,no_longer_needed,good,refurbish
books,2819.78,93,no_longer_needed,good,refurbish
toys,7799.85,21,not_as_described,good,refurbish
toys,1737.03,2,no_longer_needed,very_good,peer_exchange
home,29060.85,23,not_as_described,good,refurbish
clothing,9053.13,232,defective,for_parts,recycle
clothing,9854.0,67,no_longer_needed,very_good,resell_as_is
clothing,11644.03,3,better_price_found,good,refurbish
books,2293.61,184,no_longer_needed,good,peer_exchange
toys,972.63,22,defective,very_good,peer_exchange
clothing,6223.03,112,better_price_found,like_new,resell_as_is
home,14858.95,18,defective,very_good,resell_as_is
electronics,46515.85,49,defective,good,refurbish
home,3998.49,1,no_longer_needed,very_good,recycle
books,277.33,52,no_longer_needed,good,peer_exchange
electronics,63846.9,110,no_longer_needed,very_good,donate
electronics,34662.45,89,defective,good,peer_exchange
electronics,27620.97,73,defective,like_new,resell_as_is
home,2409.85,31,not_as_described,acceptable,refurbish
electronics,6635.43,34,no_longer_needed,like_new,resell_as_is
clothing,3976.92,6,wrong_size,for_parts,recycle
clothing,10028.11,35,no_longer_needed,like_new,resell_as_is
electronics,9130.46,26,defective,like_new,resell_as_is
